position,team_name,points,league_name,season
1,Manchester United,82,Premier League,1995
2,Newcastle United,78,Premier League,1995
3,Liverpool FC,71,Premier League,1995
4,Aston Villa,63,Premier League,1995
5,Arsenal FC,63,Premier League,1995
6,Everton FC,61,Premier League,1995
7,Blackburn Rovers,61,Premier League,1995
8,Tottenham Hotspur,61,Premier League,1995
9,Nottingham Forest,58,Premier League,1995
10,West Ham United,51,Premier League,1995
11,Chelsea FC,50,Premier League,1995
12,Middlesbrough FC,43,Premier League,1995
13,Leeds United,43,Premier League,1995
14,Wimbledon FC,41,Premier League,1995
15,Sheffield Wednesday,40,Premier League,1995
16,Coventry City,38,Premier League,1995
17,Southampton FC,38,Premier League,1995
18,Manchester City,38,Premier League,1995
19,Queens Park Rangers,33,Premier League,1995
20,Bolton Wanderers,29,Premier League,1995
1,AJ Auxerre,72,Ligue 1,1995
2,Paris Saint-Germain,68,Ligue 1,1995
3,AS Monaco,68,Ligue 1,1995
4,FC Metz,65,Ligue 1,1995
5,RC Lens,63,Ligue 1,1995
6,Montpellier HSC,60,Ligue 1,1995
7,FC Nantes,55,Ligue 1,1995
8,Stade Rennais FC,54,Ligue 1,1995
9,RC Strasbourg Alsace,54,Ligue 1,1995
10,EA Guingamp,53,Ligue 1,1995
11,Olympique Lyon,48,Ligue 1,1995
12,OGC Nice,45,Ligue 1,1995
13,AC Le Havre,45,Ligue 1,1995
14,AS Cannes,44,Ligue 1,1995
15,SC Bastia,44,Ligue 1,1995
16,FC Girondins Bordeaux,42,Ligue 1,1995
17,LOSC Lille,39,Ligue 1,1995
18,FC Gueugnon,38,Ligue 1,1995
19,AS Saint-Étienne,34,Ligue 1,1995
20,FC Martigues,34,Ligue 1,1995
1,Borussia Dortmund,68,1 Bundesliga,1995
2,Bayern Munich,62,1 Bundesliga,1995
3,FC Schalke 04,56,1 Bundesliga,1995
4,Borussia Mönchengladbach,53,1 Bundesliga,1995
5,Hamburger SV,50,1 Bundesliga,1995
6,FC Hansa Rostock,49,1 Bundesliga,1995
7,Karlsruher SC,48,1 Bundesliga,1995
8,TSV 1860 Munich,45,1 Bundesliga,1995
9,SV Werder Bremen,44,1 Bundesliga,1995
10,VfB Stuttgart,43,1 Bundesliga,1995
11,SC Freiburg,42,1 Bundesliga,1995
12,1. FC Köln,40,1 Bundesliga,1995
13,Fortuna Düsseldorf,40,1 Bundesliga,1995
14,Bayer 04 Leverkusen,38,1 Bundesliga,1995
15,FC St. Pauli,38,1 Bundesliga,1995
16,1.FC Kaiserslautern,36,1 Bundesliga,1995
17,Eintracht Frankfurt,32,1 Bundesliga,1995
18,KFC Uerdingen 05,26,1 Bundesliga,1995
1,AC Milan,73,Serie A,1995
2,Juventus FC,65,Serie A,1995
3,SS Lazio,59,Serie A,1995
4,ACF Fiorentina,59,Serie A,1995
5,AS Roma,58,Serie A,1995
6,AC Parma,58,Serie A,1995
7,Inter,54,Serie A,1995
8,UC Sampdoria,52,Serie A,1995
9,Vicenza Calcio,49,Serie A,1995
10,Cagliari Calcio,41,Serie A,1995
11,Udinese Calcio,41,Serie A,1995
12,SSC Napoli,41,Serie A,1995
13,Atalanta BC,39,Serie A,1995
14,Piacenza FC,37,Serie A,1995
15,AS Bari,32,Serie A,1995
16,Torino FC,29,Serie A,1995
17,US Cremonese,27,Serie A,1995
18,Calcio Padova,24,Serie A,1995
1,Ajax Amsterdam,83,Eredivisie,1995
2,PSV Eindhoven,77,Eredivisie,1995
3,Feyenoord Rotterdam,63,Eredivisie,1995
4,Roda JC Kerkrade,57,Eredivisie,1995
5,Vitesse Arnhem,53,Eredivisie,1995
6,Sparta Rotterdam,53,Eredivisie,1995
7,SC Heerenveen,53,Eredivisie,1995
8,NAC Breda,52,Eredivisie,1995
9,FC Groningen,49,Eredivisie,1995
10,Twente FC,48,Eredivisie,1995
11,RKC Waalwijk,44,Eredivisie,1995
12,Willem II Tilburg,39,Eredivisie,1995
13,Fortuna Sittard,31,Eredivisie,1995
14,De Graafschap Doetinchem,29,Eredivisie,1995
15,FC Utrecht,28,Eredivisie,1995
16,FC Volendam,27,Eredivisie,1995
17,NEC Nijmegen,25,Eredivisie,1995
18,Go Ahead Eagles,22,Eredivisie,1995
1,FC Porto,84,Liga Nos,1995
2,SL Benfica,73,Liga Nos,1995
3,Sporting CP,67,Liga Nos,1995
4,Boavista FC,62,Liga Nos,1995
5,Vitória Guimarães SC,62,Liga Nos,1995
6,Belenenses,51,Liga Nos,1995
7,União de Leiria,47,Liga Nos,1995
8,SC Braga,45,Liga Nos,1995
9,Marítimo,43,Liga Nos,1995
10,SC Farense,36,Liga Nos,1995
11,SC Salgueiros,36,Liga Nos,1995
12,Gil Vicente FC,36,Liga Nos,1995
13,SC Campomaiorense (- 2001),36,Liga Nos,1995
14,Clube Futebol Estrela da Amadora,35,Liga Nos,1995
15,GD Chaves,34,Liga Nos,1995
16,Leça,34,Liga Nos,1995
17,Felgueiras,33,Liga Nos,1995
18,FC Tirsense,31,Liga Nos,1995
1,Atlético de Madrid,87,Primera Division,1995
2,Valencia CF,83,Primera Division,1995
3,FC Barcelona,80,Primera Division,1995
4,RCD Espanyol Barcelona,74,Primera Division,1995
5,CD Tenerife,72,Primera Division,1995
6,Real Madrid,70,Primera Division,1995
7,Real Sociedad,63,Primera Division,1995
